,id,document,labels
10,10,"제 생각에, 준비하는 방법에 대한 최고의 본보기는 다시 말하지만 전쟁에 대비하는 방법입니다. 상근 군인들은 준비가 돼 있습니다. 규모를 늘릴 수 있는 예비군도 있습니다. 나토는 신속히 급파할 수 있는 이동부대도 있습니다. 나토는 사람들이 훈련을 잘 받았는지 점검을 위해 많은 전쟁 게임을 합니다. 그들이 연료, 병참술, 동일한 무선 주파수를 이해하는지요. 이들은 전적으로 행동할 준비가 되어있습니다. 우리가 전염병을 다룰 때에도 이렇게 똑같이 해야 합니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
11,11,"중요한 요소들이 무엇이 있을까요? 첫째로, 빈곤한 나라에 강력한 의료 시스템이 필요합니다. 그 곳은 산모들이 출산을 안전하게 할 수 있게 되고, 어린이들은 필요한 모든 백신을 받을 것입니다. 그러나 또한 그 빈곤한 나라에서 가장 먼저 전염병이 발생할 겁니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
12,12,"우리는 의료 예비인력이 필요합니다. 훈련과 기본 지식, 전문성을 가진 준비된 많은 사람들이 필요합니다. 그리고 이 의료분야 사람들과 군인들을 같이 조를 이루게 합니다. 신속히 이동하고, 수송하며, 지역의 안전을 확보하는 군대의 능력을 활용하는 겁니다. 우리는 모의 실험을 해야 합니다. 전쟁 게임이 아닌, 세균 게임을 해서 허점을 찾을 수 있도록 말이죠. 미국에서 가장 최근에 세균 게임을 한게 2001년이었고, 그리 잘 되지 않았습니다. 지금까지 점수는 세균과 인간이 1:0입니다. 끝으로 우리는 백신과 진단 분야에서 발전된 연구 개발이 많이 필요합니다. 아데노의존바이러스같이 굉장히 빠르게 작동하는 몇몇의 큰 획기적 발전이 있습니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,13,"저는 이 일에 들어갈 비용이 정확히 얼마일지 모릅니다. 그러나 잠재적인 피해에 비하면 그리 높지 않다고 생각합니다. 세계은행이 추정하기를 만약 세계적으로 독감이 퍼진다면 세계의 부가 3조 달러 이상 하락할 것이고, 수백만의 사망자가 나올 것이라고 합니다. 이러한 투자는 단지 전염병에 대비하는 것 그 이상의 상당한 이점을 줄 겁니다. 기초 보건, 연구 개발이 세계 보건 불평등을 줄일 것이고 세상을 더욱 안전하면서도 공정하게 만들 것 입니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
14,14,그래서 저는 이것이 전적으로 우선되어야 한다고 생각합니다. 두려워하지 않으셔도 됩니다. 스파게티 캔을 사재기하거나 지하실에 내려갈 필요는 없습니다. 그러나 시간이 없기 때문에 계속 해나가야 합니다.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
15,15,"실제로 에볼라 전염병에서 한 가지 긍정적인 것을 볼 수 있다면, 우리가 대비할 수 있도록 조기 경보를 받았다는 겁니다. 지금 시작하면, 다음 전염병에 대비할 수 있습니다.","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
16,16,"제가 어렸을 적엔, 저는 우리나라(북한)가 세상에서 최고라고 생각했습니다. 저는 ""세상에 부러움 없어라"" 라는 노래를 부르며 자랐습니다. 그리고 저는 굉장히 자랑스러웠죠. 학교에서는, 많은 시간을 김일성 위원장의 역사를 공부하는데 보냈습니다. 하지만, 바깥 세상에 대해서는 미국, 남한, 일본이 적이라는 점 외에는 많은 것을 배우지는 않았습니다. 저는 바깥 세상에 대해서 자주 의문을 가지긴 했지만, 저는 북한에서 제 일생을 보낼 것이라고 생각했습니다. 모든 것이 갑자기 바뀌기 전까지는 말이죠.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
17,17,"제가 7살 때, 저는 처음으로 공개 처형 장면을 보게 되었습니다. 그럼에도 불구하고 북한에서의 제 삶은 평범하다고 생각했죠. 저의 가족은 가난하지 않았습니다. 그리고 저는 배고픔에 굶주려본 적도 없었습니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,18,"그런데 1995년의 어느 날, 저희 어머니가 한 동료의 언니로부터 온 편지를 가져오셨습니다. 그 편지에는 이렇게 씌어있었어요. ""네가 이것을 읽을 즈음이면, 우리 5명의 식구들은 이 세상에 존재하지 않을 거야. 우리는 지난 2주간 아무 것도 먹지 못했고, 지금은 다 함께 땅바닥에 누워있어 지금 우리는 너무 쇠약해져서 곧 죽을 것만 같아.""","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
19,19,"저는 매우 충격을 받았습니다. 우리나라(북한)에 살고 있는 사람들이 고통받고 있다는 사실을 처음으로 알게 된 순간이었습니다. 그로부터 얼마 후, 기차역을 걸어 지나가던 중 저는 제 기억 속에서 결코 지울 수 없는 끔찍한 광경을 목격하게 되었습니다. 한 여자가 죽은 듯 땅바닥에 누워 있었고, 그녀의 품 속에 있는 수척한 모습의 아이가 엄마의 얼굴을 무기력하게 바라보고 있었습니다. 하지만 아무도 그들을 도와주려 하지 않았습니다. 그들 자신과 그 가족들을 돌보는 데 여념이 없었기 때문입니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
20,20,"1990년 대에는 엄청난 기근이 북한을 휩쓸었습니다. 그 기간 동안 총 100만 명 이상의 사람들이 목숨을 잃었고, 많은 사람들은 풀이나 벌레, 나무껍질들을 먹으며 겨우 삶을 연명했습니다. 정전 또한 더욱 빈번하게 일어났고, 밤이 되면 제 주변은 완전히 어두웠습니다. 바로 강 건너편에 있던 중국의 불빛의 바다를 제외하고 말이죠. 저는 항상 중국에는 빛이 있는데 왜 우리나라(북한)에는 없는지가 궁금했습니다. 이것은 이웃 나라들과 비교했을 때 북한의 밤의 모습을 보여주는 위성사진입니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
21,21,"이 강은 중국과 북한 사이의 국경의 일부로서 기능하는 압록강입니다. 보시다시피, 어떤 지점에서는 강의 폭이 굉장히 좁아지기도 하죠, 그 덕분에 북한 사람들은 몰래 이곳을 건널 수 있습니다. 하지만 많은 사람들이 죽어요. 가끔씩, 저는 시체가 강을 따라 떠내려오는 것을 보기도 했습니다. 제가 어떻게 북한을 떠나 왔는지를 자세하게 밝힐수는 없지만, 제가 말씀드릴 수 있는 것은, 기근이 휩쓸었던 그 고통스러운 기간에 저는 먼 친척들과 함께 중국으로 보내졌습니다. 하지만 그 때 저는, 아주 잠깐 동안만 가족들과 떨어져 있게 될 줄 알았습니다. 다시 함께 살게 되기까지 14년이라는 세월이 걸릴 줄은 상상도 하지 못했습니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
22,22,"어린 소녀였던 저에게, 가족들과 떨어져 살아야 했던 중국에서의 삶은 굉장히 힘들었습니다. 북한 출신 망명자로서의 삶이 어떻게 될지에 대해서는 전혀 예측할 수 없었지만, 곧 저는 삶이 매우 위험할 뿐만 아니라 매우 어려운 일이라는 것을 깨닫게 되었습니다. 중국에서 북한 출신 망명자들은 불법 체류자로 간주되었기 때문이죠. 그래서 저는 제 신원이 노출되어서 북한으로 다시 추방되어 끔찍한 운명을 겪게 될지도 모른다는 끊임없는 불안감에 떨면서 살았습니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
23,23,"그러던 어느 날, 저의 악몽이 현실이 되었습니다. 저는 중국 경찰에게 붙잡혀 심문을 위해 경찰서에 끌려가게 되었습니다. 어떤 사람이 제가 북한 사람이라고 신고를 했거든요. 그래서서 경찰은 제 중국어 실력을 시험하고 저에게 엄청난 질문들을 쏟아부어댔습니다. 저는 굉장히 두려웠고, 심장이 터져버릴 것만 같았습니다. 만약 조금이라도 부자연스러우면, 저는 감금당하고 본국으로 송환될 수도 있었습니다. 저는 모든 것이 끝났다고 생각했지만, 제 안의 감정들을 잘 다스리고, 질문들에 답을 할 수 있었습니다. 저에게 심문을 끝내고 나서 한 경찰관이 다른 경찰관에게 "" 잘못된 신고였습니다. 이 여자는 북한 사람이 아닙니다"" 라고 말했고, 그들은 저를 보내주었습니다. 기적같은 일이었죠.","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]"
24,24,"몇몇 북한 사람들 중에서는 외국 대사관에 망명을 요청하는 사람들도 있습니다. 하지만 다수는 중국 경찰에게 잡히고 북한으로 추방당하게 됩니다. 여기 이 소녀들은 굉장히 운이 좋았죠, 그들은 발각되었지만, 엄청난 국제적 압력이 있었던 덕분에 결국 풀려날 수 있었습니다. 여기 있는 사람들은 그렇게 운이 좋지 못했습니다. 매년마다 수많은 북한 사람들이 중국에서 잡혀서 북한으로 추방당합니다. 그들이 북한으로 돌아가면, 고문을 당하거나, 감금되거나, 공개 처형을 당하는 경우도 있습니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
25,25,"저는 하늘이 도왔던 덕분에 풀려났지만, 다른 많은 북한 사람들은 결코 저처럼 운이 좋지 못했습니다. 북한 사람들이 단지 살아남기 위해서 신원까지 숨기면서 고군분투해야 한다는 것은 매우 비극적인 일입니다. 새로운 언어를 배우고 직업을 가지고 난 후에도 그들의 세상은 언제라도 한순간에 뒤집힐 수 있습니다. 그것이 제가 10년에 걸쳐 제 신원을 숨긴 채로 살아 온 후에 위험을 무릅쓰고서라도 남한에 가고자 했던 이유입니다. 그리고 그곳에서 저는 다시 새로운 삶을 시작했습니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
26,26,"남한에서 자리를 잡는 다는 것은 제가 생각했던 것 보다 훨씬 어려운 일이었습니다. 남한에서 영어는 매우 중요했기 때문에 저는 3번째 언어를 배워야 했습니다. 또한, 그곳에서 저는 남한과 북한 사이에 엄청난 차이가 존재한다는 사실을 알게 되었습니다. 저희는 모두 한국인이었지만, 67년이라는 분단의 역사 속에서 그 내면은 매우 달라져 있었습니다. 저는 정체성의 혼란에 빠지기도 했습니다. 나는 남한 사람인가 아니면 북한 사람인가? 나는 어디서 왔을까? 나는 누구인가? 갑자기, 자랑스럽게 내 나라라고 부를 수 있는 곳이 이 세상 어디에도 없었습니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
27,27,"남한에서의 삶에 적응하는 것이 쉽지는 않았지만, 저는 계획을 세웠고, 대학 입학 시험을 위한 공부를 시작했습니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,28,"새로운 삶에 적응해 나가기 시작하던 참에 저는 충격적인 전화를 받게 되었습니다. 북한 당국에서 제가 가족들에게 보낸 돈의 일부를 알아내고 가로챘으며 그에 대한 처벌로써, 제 가족들이 시골에 있는 황량한 장소로 강제 이주를 당하게 될 것이라는 사실이었습니다. 그들은 빨리 그곳을 나와야만 했습니다. 그래서 저는 어떻게 그들을 도와 탈출시킬까에 대한 계획을 짜기 시작했습니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
